pre post class
1 29 30 class1
2 31 29 class1
3 31 30 class1
4 27 25 class1
5 19 18 class1
6 24 28 class1
7 23 29 class1
8 28 33 class1
9 22 21 class1
10 32 39 class1
11 20 28 class1
12 26 27 class1
13 25 27 class1
14 28 34 class1
15 31 30 class1
16 26 26 class1
17 30 38 class1
18 34 24 class1
19 32 31 class1
20 21 18 class1
21 23 24 class2
22 30 31 class2
23 20 18 class2
24 31 28 class2
25 29 34 class2
26 26 29 class2
27 21 24 class2
28 28 25 class2
29 31 25 class2
30 27 30 class2
31 20 18 class2
32 27 31 class2
33 20 23 class2
34 30 31 class2
35 29 33 class2
36 27 25 class2
37 26 28 class2
38 26 29 class2
39 26 29 class2
40 26 28 class2
41 27 26 class2
42 23 24 class2
43 28 26 class2
44 28 31 class2
45 27 28 class2
46 23 25 class2
47 22 20 class2
48 21 22 class2
49 22 24 class2
50 23 24 class2
