price lot floors const roof build area yr.built eff.age baths gar basmt
"1" 64500 0.17 1 3 2 4 1300 1992 3 2 0 1
"2" 72400 0.26 1 3 2 3 1300 1978 16 2 0 1
"3" 68500 0.2 1.5 3 2 3 1056 1978 15 1 0 1
"4" 71000 0.17 1 3 2 3 1050 1977 16 2 0 1
"5" 67500 0.17 1 3 2 3 994 1981 14 1 1 1
"6" 51000 0.25 1 3 2 3 1841 1978 13 3 1 1
"7" 69000 0.32 1 3 2 3 1100 1977 13 2 0 1
"8" 55500 0.16 1 3 2 3 1032 1974 14 1 0 1
"9" 60500 0.24 1 3 2 3 1188 1971 12 2 0 1
"10" 55000 0.17 1 3 2 3 1040 1977 15 2 0 1
"11" 58000 0.17 1 3 2 3 1000 1978 15 2 0 1
"12" 66350 0.17 1 3 2 3 1068 1960 20 2 0 1
"13" 63500 0.21 1 3 2 3 1011 1976 15 2 0 1
"14" 74500 0.17 1 3 2 3 1104 1974 18 2 1 1
"15" 42500 0.18 1 3 2 3 822 1950 25 1 0 1
"16" 73500 0.28 1 3 2 3 1024 1958 22 2 0 1
"17" 50500 0.24 1 3 2 3 904 1951 22 1 0 1
"18" 71000 0.24 1 3 2 3 1366 1961 18 2 0 1
"19" 68500 0.24 1 3 2 3 1366 1961 18 2 0 1
"20" 50000 0.16 1 3 2 3 987 1972 16 2 0 1
"21" 31500 0.35 1 3 2 3 1237 1966 15 1 0 1
"22" 72500 0.24 1.5 3 2 3 2037 1945 20 2 0 1
"23" 77000 0.38 1 3 2 3 1340 1958 22 2 0 1
"24" 51500 0.2 1.5 3 2 3 1425 1922 30 2 0 1
"25" 31000 0.15 1 3 2 3 970 1942 25 1 0 1
"26" 51500 0.23 1 3 2 3 1248 1927 30 1 0 0
"27" 66500 0.3 1 3 2 3 1133 1935 35 2 0 1
"28" 73000 0.18 1 3 2 3 828 1941 28 1 0 1
"29" 33586 0.28 1 3 2 3 1373 1925 30 1 0 1
"30" 52500 0.19 1 3 2 3 827 1925 30 2 0 1
"31" 64500 0.3 1 3 2 3 872 1931 30 1 0 1
"32" 80750 0.3 1 3 2 4 1560 1967 12 4 0 1
"33" 48500 0.3 1 3 2 3 896 1937 30 2 0 1
"34" 17500 0.3 1 3 2 3 1662 1920 35 2 0 1
"35" 52000 0.22 1 3 2 3 1276 1940 30 2 0 1
"36" 65000 0.2 1 3 2 3 1046 1951 16 2 0 1
"37" 88000 0.2 1 3 3 3 1508 1930 20 2 0 1
"38" 50000 0.24 1 3 2 3 948 1908 30 2 0 1
"39" 50900 0.18 1 3 2 3 800 1914 40 1 0 1
"40" 64920 0.12 1 3 2 3 1012 1940 30 1 0 1
"41" 86500 0.31 1 3 2 3 1244 1917 30 2 0 1
"42" 81000 0.18 1 3 2 3 1191 1961 12 2 1 1
"43" 11500 0.15 1 3 2 3 876 1933 30 1 0 0
"44" 30500 0.19 1 3 2 4 663 1940 20 1 0 1
"45" 32476 0.32 1 3 2 3 921 1946 28 1 0 1
"46" 48800 0.19 1 3 2 3 832 1952 22 2 0 1
"47" 63500 0.18 1 3 2 3 1203 1967 17 2 0 1
"48" 64593 0.17 1 3 2 3 1205 1973 15 1 0 1
"49" 65000 0.17 1 3 2 3 1141 1974 15 2 0 1
"50" 62500 0.17 1.5 3 2 3 1513 1976 15 1 0 1
"51" 74000 0.19 1 3 2 3 1362 1975 14 2 0 1
"52" 65000 0.17 1 3 2 3 1196 1980 14 2 0 1
"53" 187202 0.44 1.5 3 2 3 2371 1926 30 3 0 1
"54" 49500 0.31 1 3 2 3 924 1941 30 2 0 1
"55" 56500 0.2 1 3 2 3 782 1922 30 2 0 1
"56" 59000 0.2 1 3 2 3 1160 1976 15 1 0 1
"57" 54500 0.2 1 3 2 3 808 1946 30 2 0 1
"58" 67500 0.21 1 3 2 3 1189 1965 20 2 0 1
"59" 60500 0.22 1 3 2 3 1922 1968 20 2 0 0
"60" 81500 0.19 1 3 2 3 1316 1971 17 3 0 1
"61" 104000 0.3 1 3 2 3 1390 1973 15 3 0 1
"62" 53000 0.15 1 3 2 3 1085 1956 20 2 0 0
"63" 49000 0.21 1 3 2 3 850 1948 30 2 0 1
"64" 61500 0.21 1 3 2 3 999 1948 30 1 0 1
"65" 66500 0.19 1 3 2 3 1211 1956 23 2 0 1
"66" 40000 0.17 1 3 2 3 768 1953 25 1 0 0
"67" 73500 0.19 1 3 2 3 1300 1972 15 3 0 1
"68" 112500 0.24 1.5 3 2 4 1962 1973 15 3 1 1
"69" 43500 0.19 1 3 2 3 922 1993 1 1 0 1
"70" 70000 0.24 1 3 2 3 1382 1976 15 3 1 1
"71" 64000 0.67 1 3 2 3 1968 1949 20 3 0 1
"72" 121818 0.4 1 3 3 3 2268 1980 13 3 0 1
"73" 89400 0.32 1 3 2 3 1554 1970 20 2 0 1
"74" 169750 0.4 1 3 2 4 2030 1985 8 2 1 1
"75" 187000 0.35 2 4 3 4 3187 1992 1 4 1 1
"76" 168700 0.35 2 4 3 4 2828 1993 1 3 1 1
"77" 106250 0.38 1 3 2 4 1542 1972 15 2 0 1
"78" 72500 0.19 1 3 2 3 1690 1949 25 2 1 1
"79" 83500 0.2 1.5 3 2 3 1637 1955 20 3 0 1
"80" 38000 0.16 1 3 2 3 1450 1959 22 2 0 0
"81" 69500 0.19 1 3 2 3 1232 1978 12 1 0 1
"82" 77500 0.19 1 3 2 3 1210 1978 15 3 0 1
"83" 126000 0.32 2 3 2 4 2465 1990 4 2 1 1
"84" 94100 0.27 1 3 2 3 1408 1993 1 3 1 1
"85" 69900 0.2 1 3 2 3 1240 1993 1 2 1 1
"86" 61020 0.3 1 3 2 4 1119 1993 2 3 1 1
"87" 69000 0.15 1.5 3 2 4 1355 1992 2 2 0 0
"88" 67000 0.14 1.5 3 2 4 1355 1992 2 2 1 0
"89" 66000 0.15 1.5 3 2 4 1355 1992 2 2 0 0
"90" 63500 0.16 1 3 2 3 1236 1990 4 1 0 1
"91" 96000 0.24 1 3 2 3 1190 1977 15 3 1 1
"92" 73000 0.2 1.5 3 2 3 2808 1978 15 2 1 0
"93" 110900 0.28 1 3 2 3 1524 1985 9 3 1 1
"94" 116385 0.23 1 3 3 3 1512 1977 15 5 1 1
"95" 71725 0.24 1 3 2 3 1680 1993 2 2 0 0
"96" 67076 0.24 1 3 2 3 1680 1993 2 2 0 0
